year	title	doi	arxiv	sources	abstract
2026	Coupled Electro-Thermal Battery Emulator for Power Systems Testing	10.2139/ssrn.6304895		crossref	Hybrid power systems that combine fossil fuel generators with an electrical microgrid are more efficient and practical for automotive, naval, and aviation industries. This paper demonstrates an electro-thermal battery emulator to aid during design and initial testing phases of electrified systems. A 2.4 kWh battery pack is represented using an equivalent‑circuit model coupled to a lumped thermal model with heat generation. Deployed on a hardware-in-the-loop setup, emulation is performed through
2026	Design and implementation of a buck converter–based PV emulator using dynamic evolution control	10.11591/ijpeds.v17.i1.pp809-822		zenodo	<p>This paper presents the design, simulation, and experimental implementation of a photovoltaic (PV) emulator based on a buck converter controlled using the dynamic evolution control (DEC) technique. The proposed system accurately reproduces the nonlinear current-voltage (I-V) and power-voltage (P&ndash;V) characteristics of a commercial GREEN CELL SM100-18P (100 Wp) PV module under standard test conditions (1000 W/m2, 25 &deg;C). The electrical characteristics of the reference module are embed
2026	HARDWARE EMULATION OF CONTINUOUS MANIFOLDS	10.5281/zenodo.20814655		zenodo	<p>The DSM-861 circuit topology turns a computational manifold into a physical object: an 861-<br>node ReRAM crossbar, stacked in 3D, that computes by settling to its electrical energy minimum.<br>The primitives are textbook circuit physics used boldly  Ohm's law for the analog multiply,<br>Kirchho's law for the projection, current-bias defects for logic, boundary forcing for input <br>and the engineering challenges are met with established solutions: 1T1R cells for sneak paths,<br>TSVs for the
2026	Kaizen: Metamorphic Fuzzing and Differential Testing for LLM-Translated HPC Applications		2607.04058	arxiv	Large language models (LLMs) are increasingly used to port scientific codes across heterogeneous high-performance computing (HPC) programming models, such as translating CUDA to OpenMP, OpenACC, Kokkos or SYCL. However, current evaluations use compilation success, token-level similarity, or developer-written tests from static benchmarks, which cannot reliably ensure behavioral correctness. We present Kaizen, a metamorphic fuzzing and differential testing framework for evaluating the correctness
2026	Read [Pdf]&gt; The Game Boy Encyclopedia: Every Game Released for the Nintendo Game Boy and Game Boy Color by Chris Scullion	10.55277/researchhub.2jevlvwz.1		crossref
2026	Read [pdf]&gt; The Game Boy Encyclopedia: Every Game Released for the Nintendo Game Boy and Game Boy Color by Chris Scullion	10.55277/researchhub.zzupgbm7.1		crossref
2026	Relocate and Emulate: Re-Hosting Android's Application Layer	10.1109/saner67736.2026.00053	2606.09528	arxiv	Dynamic analysis of Android's application layer typically relies on physical devices, limiting scalability and reproducibility. To compensate, we introduce a systematic re-hosting method that relocates the Android framework and pre-installed software from real device firmware into a fully emulated environment. Our approach integrates vendor-specific components into the Android Open Source Project (AOSP) build system using tailored extraction and injection strategies, producing vendor-flavoured e
2026	Video Game Emulation: Using FPGA Technology with Open Source Tools	10.1109/infoteh68759.2026.11477622		crossref
2025	A Neural Surrogate for Fast and Accurate Analog Circuit Emulation	10.2139/ssrn.5743774		crossref
2025	CSST Cosmological Emulator I: Matter Power Spectrum Emulation with one percent accuracy to k = 10 h/Mpc	10.1007/s11433-025-2671-0	2502.11160	arxiv	In the near future, the China Space Station Telescope (CSST) will obtain unprecedented imaging and spectroscopic data. The statistical errors in the cosmological parameter constraints will be reduced significantly. The corresponding theoretical tools must meet the percent-level accuracy required to extract as much cosmological information as possible from the observations. We present the CSST Emulator to provide nonlinear power spectrum predictions in the eight cosmological parameter space $Ω_\m
