10.1371/journal.pone.0197828	Young children fail to generate an additive ratchet effect in an open-ended construction task
10.1371/journal.pone.0319746	Real-world goal-directed behavior reveals aberrant functional brain connectivity in children with ADHD
10.1371/journal.pone.0289319	Identifying adolescents’ gaming preferences for a tobacco prevention social game: A qualitative study
10.1371/journal.pone.0215474	How is your mind-set? Proof of concept for the measurement of the level of emotional development
10.1371/journal.pone.0117612	Simulating Irrational Human Behavior to Prevent Resource Depletion
10.1371/journal.pone.0019555	Comparing the Performances of Apes (Gorilla gorilla, Pan troglodytes, Pongo pygmaeus) and Human Children (Homo sapiens) in the Floating Peanut Task
10.1371/journal.pone.0184707	Causal illusions in children when the outcome is frequent
10.1371/journal.pone.0265389	A behavioral economics analysis of the participation in early childhood development social programs promoted by civil societies in Mexico
10.1371/journal.pone.0327609	Examining motivational profiles in the dark personality tetrad using an approach-avoidance conflict task
